<p>What is SUSE Virtualization, and what is its upstream open-source name?</p>	<p>SUSE Virtualization is SUSE's <strong>hyperconverged infrastructure (HCI)</strong> product for running virtual machines. Upstream it is the open-source project <strong>Harvester</strong>. It bundles compute, storage, and networking on a Kubernetes foundation and runs on bare metal, positioned as a cloud-native alternative to traditional hypervisor stacks like VMware vSphere.</p>	suse-virtualization architecture
<p>What are the four foundational technologies in the SUSE Virtualization stack?</p>	<ol> <li><strong>Kubernetes (RKE2)</strong> as the control plane and orchestration layer.</li> <li><strong>KubeVirt</strong> to run and manage VMs as Kubernetes resources.</li> <li><strong>Longhorn (SUSE Storage)</strong> for distributed block storage.</li> <li><strong>KVM/QEMU</strong> as the actual hypervisor executing the guests.</li> </ol>	suse-virtualization architecture
<p>Which host operating system does a SUSE Virtualization node run?</p>	<p>A purpose-built, immutable OS based on <strong>SLE Micro / openSUSE Leap Micro</strong>, provisioned with <strong>Elemental</strong>. The node is an appliance: you don't install packages into it directly — configuration is declarative and upgrades replace the OS image atomically.</p>	suse-virtualization architecture
<p>Which Kubernetes distribution does SUSE Virtualization run on, and why does it matter?</p>	<p><strong>RKE2</strong> (Rancher's CNCF-conformant, security-hardened Kubernetes). It matters because Harvester components (KubeVirt, Longhorn, Multus, etc.) run as workloads on this cluster, and RKE2 provides the embedded etcd, control-plane, and CNI that everything else builds on.</p>	suse-virtualization architecture
<p>How does KubeVirt let a VM run inside Kubernetes?</p>	<p>KubeVirt adds VM CRDs (<code>VirtualMachine</code>, <code>VirtualMachineInstance</code>) and controllers. A running VM is hosted inside a normal pod called <strong>virt-launcher</strong>, which starts <strong>libvirt + QEMU/KVM</strong> for that guest. The VM therefore participates in Kubernetes scheduling, networking, and storage like any other pod.</p>	suse-virtualization architecture
<p>What role does Longhorn play in the architecture?</p>	<p>Longhorn (shipped as <strong>SUSE Storage</strong>) provides <strong>distributed, replicated block storage</strong> built from the local disks of the nodes. VM disks are Longhorn volumes exposed through a CSI StorageClass, synchronously replicated across nodes so a VM's data survives a node failure.</p>	suse-virtualization architecture
<p>What is the difference between the embedded Rancher in SUSE Virtualization and a separate Rancher Manager?</p>	<p>Each cluster ships an <strong>embedded Rancher</strong> used internally for authentication and the built-in UI. For managing many clusters and provisioning guest Kubernetes clusters, you <strong>import</strong> the Harvester cluster into a standalone <strong>Rancher Manager</strong>, which then offers Virtualization Management and the Harvester node driver.</p>	suse-virtualization architecture
<p>Why is SUSE Virtualization described as "hyperconverged"?</p>	<p>Because <strong>compute, storage, and networking are collapsed onto the same pool of commodity nodes</strong> rather than separated into distinct SAN/compute tiers. Every node contributes CPU, RAM, and disk; adding a node scales all three at once.</p>	suse-virtualization architecture
<p>What is the management VIP in a SUSE Virtualization cluster and how is it provided?</p>	<p>A <strong>virtual IP (VIP)</strong> that floats across management nodes to give a stable endpoint for the UI and Kubernetes API. It is provided by <strong>kube-vip</strong>, so the cluster stays reachable at one address even when the leader node changes.</p>	suse-virtualization architecture
<p>How does SUSE Virtualization attach VMs to multiple networks beyond the pod network?</p>	<p>Via <strong>Multus</strong>, which lets a VM's interface be backed by additional <code>NetworkAttachmentDefinition</code>s (for example VLAN-tagged bridge networks) in addition to the default cluster pod network.</p>	suse-virtualization architecture
<p>Is SUSE Virtualization meant to run on top of another hypervisor or directly on hardware?</p>	<p>Directly on <strong>bare metal</strong>. It installs its own immutable OS and Kubernetes stack on the physical servers; nesting it inside another hypervisor is only supported for testing/PoC, not production.</p>	suse-virtualization architecture
<p>How does the "everything is a Kubernetes object" design benefit operators?</p>	<p>VMs, disks, images, networks, and backups are all <strong>CRDs</strong>, so they can be managed with <code>kubectl</code>, GitOps, RBAC, and the same tooling as containers — giving consistent lifecycle, policy, and automation across VMs and container workloads on one platform.</p>	suse-virtualization architecture
<p>What container runtime and CNI underpin the cluster that hosts the VMs?</p>	<p>RKE2's defaults: <strong>containerd</strong> as the container runtime and <strong>Canal (Flannel + Calico)</strong> as the primary CNI, with <strong>Multus</strong> layered on top to provide the extra VM networks.</p>	suse-virtualization architecture
<p>At a high level, what happens when you start a VM in SUSE Virtualization?</p>	<p>The <code>VirtualMachine</code> object is set to running → KubeVirt creates a <code>VirtualMachineInstance</code> → the scheduler places a <strong>virt-launcher</strong> pod on a node → libvirt/QEMU boots the guest, with its Longhorn volumes attached via CSI and its NICs wired through Multus.</p>	suse-virtualization architecture
<p>What three modes does the Harvester ISO installer offer at boot?</p>	<p>The installer lets you <strong>create a new Harvester cluster</strong>, <strong>join an existing cluster</strong>, or <strong>install Harvester binaries only</strong> (for a later scripted config). Creating makes this the first node; joining requires the existing cluster's <strong>VIP</strong> and <strong>cluster token</strong>.</p>	suse-virtualization installation-nodes
<p>How do you perform an automated (unattended) install via PXE/iPXE?</p>	<p>Boot the node over <strong>PXE/iPXE</strong> and point the kernel to a <strong>Harvester configuration file</strong> (served over HTTP) with the boot arg <code>harvester.install.config_url=&lt;url&gt;</code>. The config file supplies all answers the interactive installer would otherwise prompt for, so no console interaction is needed.</p>	suse-virtualization installation-nodes
<p>What is the Harvester install config file and what style does it use?</p>	<p>A YAML file (commonly <code>config.yaml</code> / <code>config-create.yaml</code>) describing the node: install mode, disks, hostname, networking, VIP, token, SSH keys, etc. It is <strong>cloud-init style</strong> and embeds an <code>os:</code> section for host-OS settings; the same file can be referenced by URL during PXE install or pasted into the ISO installer.</p>	suse-virtualization installation-nodes
<p>What is the difference between creating and joining a cluster during install?</p>	<p><strong>Create</strong> bootstraps a brand-new cluster; the first node becomes the initial management node and defines the VIP and token. <strong>Join</strong> adds a node to an existing cluster — you must supply that cluster's <strong>management VIP</strong> and its <strong>cluster token</strong> so the new node can authenticate and register.</p>	suse-virtualization installation-nodes
<p>What is the management VIP in Harvester?</p>	<p>A <strong>virtual IP</strong> that floats across the management nodes and provides a single, stable endpoint for the Harvester UI/API and for new nodes joining the cluster. It can be assigned via <strong>DHCP</strong> or set <strong>statically</strong>, and it follows the active management node if one fails.</p>	suse-virtualization installation-nodes
<p>What is the cluster token used for?</p>	<p>It is a <strong>shared secret</strong> set when the cluster is created. Every node that joins must present the same token (along with the VIP) to be admitted. It authenticates node enrollment, similar to an RKE2/K3s join token.</p>	suse-virtualization installation-nodes
<p>What node roles exist in a Harvester cluster?</p>	<p><strong>Management</strong> nodes run the control plane (etcd + Kubernetes control plane) and can also run VMs; <strong>worker/compute</strong> nodes only run workloads and are <strong>never promoted</strong> to management; and a special <strong>witness</strong> node participates in etcd quorum only. Roles can be pre-assigned at install time.</p>	suse-virtualization installation-nodes
<p>What is a witness node and why would you use one?</p>	<p>A <strong>witness node</strong> joins the cluster purely as an <strong>etcd/quorum member</strong> — it does not run VM workloads. It lets you keep an <strong>odd number of etcd members</strong> (e.g. 2 management + 1 witness) so the cluster tolerates one failure without dedicating a third full management host. A cluster has <strong>at most one</strong> witness node.</p>	suse-virtualization installation-nodes
<p>Why is a 3-node minimum recommended for a highly-available Harvester cluster?</p>	<p>etcd needs an <strong>odd quorum majority</strong> to survive a failure. With <strong>three management (etcd) members</strong> the cluster tolerates exactly <strong>one node failure</strong> and still keeps quorum. A single-node install has no HA, and two members cannot form a fault-tolerant quorum.</p>	suse-virtualization installation-nodes
<p>How does automatic node promotion work?</p>	<p>When a cluster has fewer than three management nodes and additional nodes join, Harvester <strong>auto-promotes</strong> eligible nodes to management to reach three, restoring HA. Promotion is only triggered by a management node being <strong>deliberately deleted</strong> — not by a node being temporarily down. Nodes pre-assigned the <strong>worker</strong> role are excluded from promotion.</p>	suse-virtualization installation-nodes
<p>Why is the Harvester host OS described as immutable?</p>	<p>Harvester runs on an <strong>immutable OS based on SLE Micro / Elemental</strong>: the root filesystem is read-only and not meant to be hand-edited. Persistent changes are made declaratively through <strong>CloudInit resources</strong> (applied via <code>kubectl</code>) or the UI, and survive upgrades, which keeps every node reproducible.</p>	suse-virtualization installation-nodes
<p>How do you add a new node to an existing Harvester cluster?</p>	<p>Install Harvester on the new host in <strong>Join</strong> mode, giving it the cluster's <strong>VIP</strong> and <strong>token</strong> (interactively or via a config file). Once it registers it appears in Hosts; if HA needs it, Harvester may auto-promote it to management. VMs can then be scheduled onto it.</p>	suse-virtualization installation-nodes
<p>What must you do to safely remove a node from the cluster?</p>	<p>Confirm the remaining nodes have enough CPU/memory/storage and that Longhorn volumes are healthy; <strong>evict Longhorn replicas</strong> off the node; handle non-migratable VMs (shutdown/snapshot); put the node into <strong>Maintenance Mode</strong> so live-migratable VMs drain off; then run the RKE2 uninstall script (<code>/opt/rke2/bin/rke2-uninstall.sh</code>) on it and <strong>delete the host</strong> from the UI.</p>	suse-virtualization installation-nodes
<p>How do you create a VM from an image in Harvester?</p>	<p>In the UI you pick a <strong>namespace</strong>, set <strong>CPU and memory</strong>, and choose a <strong>VM Image</strong> to back the root disk (Harvester Images are imported from URLs or uploads). You can add extra volumes, networks, and cloud-init. The root disk defaults to <strong>10 GiB or the image's virtual size, whichever is larger</strong>.</p>	suse-virtualization vm-lifecycle
<p>What is the difference between the VirtualMachine and VirtualMachineInstance objects?</p>	<p><strong><code>VirtualMachine</code></strong> is the desired-state CRD you edit — its <code>runStrategy</code> and template define whether and how the VM should run. <strong><code>VirtualMachineInstance</code> (VMI)</strong> is the running instance the controller creates from it, roughly the "process" of a live guest. Deleting the VMI stops the guest; the VirtualMachine can recreate it.</p>	suse-virtualization vm-lifecycle
